,grado,lambda,MSE_entrenamiento_OLS,MSE_entrenamiento_ridge,MSE_prueba_OLS,MSE_prueba_ridge
189,2.0,0.89,0.4621871976939597,0.7780772421063087,1.4784646016971357,1.1747482142709964
190,2.0,0.9,0.4621871976939597,0.7825881765430391,1.4784646016971357,1.1760640405034872
191,2.0,0.91,0.4621871976939597,0.7870994702692145,1.4784646016971357,1.177390657131355
192,2.0,0.92,0.4621871976939597,0.7916109392897684,1.4784646016971357,1.1787272632726107
193,2.0,0.93,0.4621871976939597,0.7961224074189027,1.4784646016971357,1.180073092962258
194,2.0,0.9400000000000001,0.4621871976939597,0.8006337059731303,1.4784646016971357,1.1814274137571041
195,2.0,0.9500000000000001,0.4621871976939597,0.8051446734769032,1.4784646016971357,1.1827895253981695
196,2.0,0.96,0.4621871976939597,0.8096551553802263,1.4784646016971357,1.1841587585280249
197,2.0,0.97,0.4621871976939597,0.8141650037877933,1.4784646016971357,1.185534473460789
198,2.0,0.98,0.4621871976939597,0.8186740771990941,1.4784646016971357,1.1869160590023664
